CAT_is_male,parental_level_of_education,CAT_has_standard_lunch,CAT_has_completed_preparation_test,reading_score,writing_score,CAT_ethnicity_group A,CAT_ethnicity_group B,CAT_ethnicity_group C,CAT_ethnicity_group D,CAT_ethnicity_group E,target,split
0,0.8,0,1,0.7733333333333333,0.8117647058823529,0,0,0,0,1,1,train
1,0.0,1,0,0.9066666666666666,0.8117647058823529,0,0,0,1,0,1,test
0,0.4,1,1,0.6266666666666667,0.6705882352941177,0,1,0,0,0,1,val
1,0.2,1,0,0.56,0.5647058823529412,0,0,1,0,0,1,train
0,0.4,1,0,0.52,0.5411764705882354,0,0,1,0,0,1,train
0,0.8,1,0,0.6666666666666666,0.7647058823529411,0,0,0,1,0,1,train
0,0.0,1,1,0.9066666666666666,0.9176470588235293,0,0,0,0,1,1,val
0,0.6000000000000001,1,0,0.8133333333333334,0.7411764705882353,0,0,1,0,0,1,train
1,0.0,1,0,0.5466666666666666,0.6000000000000001,0,0,1,0,0,1,test
1,0.0,1,1,0.6533333333333333,0.7058823529411764,0,0,0,1,0,1,test
1,0.0,0,1,0.5866666666666667,0.5647058823529412,0,0,1,0,0,1,val
0,0.4,0,0,0.7733333333333333,0.7647058823529411,0,0,0,1,0,1,test
0,1.0,1,0,0.5733333333333334,0.6823529411764706,0,0,1,0,0,0,train
0,0.2,0,0,0.6533333333333333,0.6588235294117648,0,1,0,0,0,1,train
0,1.0,0,0,0.12,0.24705882352941178,0,1,0,0,0,0,train
1,0.2,0,0,0.6933333333333335,0.6000000000000001,0,0,1,0,0,1,test
0,0.0,0,1,0.88,0.8588235294117645,0,1,0,0,0,1,train
0,0.2,0,0,0.4933333333333334,0.4941176470588235,0,0,1,0,0,0,train
1,1.0,1,0,0.6,0.6823529411764706,0,0,0,1,0,1,test
1,0.0,1,1,0.7466666666666667,0.7411764705882353,0,0,1,0,0,1,test
0,0.4,0,1,0.7600000000000001,0.7647058823529411,0,0,0,1,0,1,val
0,0.0,1,0,0.10666666666666663,0.21176470588235297,0,0,1,0,0,0,train
0,0.0,0,1,0.44000000000000006,0.5176470588235293,0,0,0,1,0,0,train
1,0.4,1,1,0.31999999999999995,0.4352941176470589,0,0,0,0,1,1,train
1,0.6000000000000001,1,0,0.28,0.36470588235294116,0,1,0,0,0,1,train
1,1.0,0,1,0.88,0.8705882352941177,0,1,0,0,0,1,test
1,0.4,1,0,0.48,0.5176470588235293,0,0,1,0,0,0,train
1,1.0,1,1,0.6666666666666666,0.6941176470588235,1,0,0,0,0,1,train
1,0.2,1,0,0.48,0.4941176470588235,0,1,0,0,0,1,train
1,1.0,1,0,0.7333333333333333,0.776470588235294,0,0,1,0,0,1,train
1,0.8,0,1,0.9066666666666666,0.9411764705882353,0,0,0,1,0,1,train
0,0.4,1,0,0.28,0.31764705882352945,1,0,0,0,0,0,test
1,0.4,1,1,0.6933333333333335,0.7176470588235293,0,0,1,0,0,1,train
0,0.4,1,0,0.8533333333333334,0.8705882352941177,0,0,0,1,0,1,train
1,0.8,1,0,0.9600000000000001,0.8941176470588235,0,0,0,1,0,1,train
0,0.0,1,1,0.5733333333333334,0.6235294117647059,0,0,0,1,0,0,test
1,0.4,1,0,0.7200000000000001,0.8235294117647058,0,0,0,0,1,1,train
1,0.8,1,0,0.5333333333333333,0.5294117647058822,0,1,0,0,0,1,val
1,0.6000000000000001,1,0,0.4933333333333334,0.5058823529411764,0,0,1,0,0,1,train
1,1.0,0,1,0.56,0.5411764705882354,0,0,1,0,0,1,test
0,0.6000000000000001,1,0,0.6533333333333333,0.7058823529411764,0,0,1,0,0,1,train
1,0.4,1,0,0.3466666666666667,0.27058823529411763,0,0,1,0,0,0,train
1,0.4,1,0,0.6666666666666666,0.6941176470588235,0,0,0,1,0,1,train
0,0.4,1,0,0.84,0.8,0,0,1,0,0,1,train
0,1.0,1,1,0.9466666666666667,0.9647058823529411,0,0,1,0,0,1,train
0,0.4,1,1,0.7866666666666667,0.8470588235294116,0,0,0,1,0,1,train
0,1.0,1,0,0.7333333333333333,0.7411764705882353,0,1,0,0,0,1,train
0,0.2,0,1,0.8666666666666668,0.9411764705882353,0,1,0,0,0,1,test
1,0.4,0,0,0.4933333333333334,0.5764705882352941,0,0,1,0,0,1,train
1,0.2,1,0,0.6266666666666667,0.6941176470588235,0,0,0,1,0,1,train
1,0.6000000000000001,1,0,0.33333333333333337,0.4470588235294118,0,0,1,0,0,0,train
1,1.0,1,0,0.5866666666666667,0.5647058823529412,0,0,0,1,0,1,train
0,0.4,0,0,0.44000000000000006,0.5294117647058822,0,0,1,0,0,0,train
0,0.2,0,0,0.8666666666666668,0.8117647058823529,0,0,1,0,0,1,train
0,0.0,1,0,0.6666666666666666,0.6941176470588235,0,0,0,1,0,1,train
0,0.0,1,1,0.68,0.6705882352941177,0,1,0,0,0,1,train
0,0.0,1,0,0.7066666666666667,0.6941176470588235,0,1,0,0,0,1,train
1,1.0,0,1,0.44000000000000006,0.4823529411764706,0,0,1,0,0,1,val
1,0.4,1,0,0.7466666666666667,0.7294117647058824,0,0,0,0,1,1,train
0,0.0,0,1,0.7866666666666667,0.8,0,0,0,1,0,1,test
0,0.6000000000000001,1,0,0.7200000000000001,0.6823529411764706,0,1,0,0,0,1,train
0,0.4,1,1,0.8133333333333334,0.8705882352941177,0,0,1,0,0,1,train
0,0.8,1,1,0.52,0.5647058823529412,0,0,1,0,0,0,train
0,1.0,1,1,0.6266666666666667,0.7411764705882353,0,1,0,0,0,1,val
0,0.6000000000000001,1,0,0.9333333333333335,1.0,0,0,0,0,1,1,train
0,0.2,1,0,0.9466666666666667,0.8588235294117645,0,0,0,0,1,1,train
1,0.2,0,1,0.6133333333333334,0.6235294117647059,0,0,1,0,0,1,test
0,0.2,0,0,0.4,0.4352941176470589,0,1,0,0,0,0,train
0,0.6000000000000001,1,0,0.88,0.9176470588235293,0,1,0,0,0,1,train
1,0.2,1,1,0.6533333333333333,0.7529411764705882,0,0,0,1,0,1,test
1,0.8,1,0,0.7866666666666667,0.776470588235294,0,0,0,1,0,1,train
0,1.0,0,1,0.56,0.7058823529411764,0,0,0,1,0,1,test
0,0.2,1,0,0.4666666666666667,0.611764705882353,0,1,0,0,0,0,train
0,0.6000000000000001,0,1,0.7066666666666667,0.7647058823529411,0,0,0,1,0,0,train
0,0.4,1,0,0.8666666666666668,0.8588235294117645,0,0,0,0,1,1,train
1,1.0,1,1,0.7200000000000001,0.7647058823529411,0,1,0,0,0,1,train
0,0.0,1,1,0.9333333333333335,0.9647058823529411,0,0,0,1,0,1,test
0,1.0,1,0,0.6666666666666666,0.7058823529411764,0,0,1,0,0,1,test
0,0.4,0,0,0.5333333333333333,0.5294117647058822,0,0,1,0,0,0,val
0,1.0,0,0,0.5333333333333333,0.5294117647058822,0,0,1,0,0,0,train
0,0.4,1,0,0.44000000000000006,0.4705882352941177,0,0,1,0,0,0,train
1,0.0,0,1,0.28,0.4235294117647059,0,0,0,1,0,0,train
1,0.8,1,0,0.48,0.5647058823529412,0,0,0,1,0,1,train
0,0.8,1,1,0.6,0.8,0,0,1,0,0,1,train
1,0.4,1,0,0.5333333333333333,0.5294117647058822,0,0,1,0,0,1,test
0,0.8,1,0,0.8666666666666668,0.8588235294117645,0,0,0,0,1,1,test
0,0.8,1,0,0.6933333333333335,0.7294117647058824,0,0,0,0,1,1,train
0,0.4,0,0,0.5466666666666666,0.6000000000000001,0,0,0,1,0,0,train
1,0.2,1,0,0.7466666666666667,0.6941176470588235,0,0,1,0,0,1,test
1,0.4,1,0,0.52,0.5411764705882354,0,0,1,0,0,1,train
0,0.2,1,0,0.5866666666666667,0.5764705882352941,0,0,0,1,0,0,test
1,0.2,1,0,0.6933333333333335,0.7647058823529411,0,0,1,0,0,1,train
1,0.6000000000000001,1,0,0.6933333333333335,0.7411764705882353,0,0,0,0,1,1,train
0,1.0,1,0,0.41333333333333333,0.5294117647058822,0,0,0,1,0,1,train
0,0.6000000000000001,1,1,0.7200000000000001,0.776470588235294,1,0,0,0,0,1,train
1,0.0,1,0,0.6933333333333335,0.6705882352941177,0,0,0,1,0,1,val
0,1.0,1,0,0.6,0.6588235294117648,0,0,0,0,1,1,train
1,0.6000000000000001,1,0,0.7733333333333333,0.7882352941176471,0,0,1,0,0,1,train
0,0.8,1,0,0.7066666666666667,0.7647058823529411,0,0,1,0,0,1,train
1,0.2,1,1,0.5866666666666667,0.611764705882353,0,0,0,1,0,1,test
1,0.8,1,0,0.41333333333333333,0.4352941176470589,0,1,0,0,0,1,test
0,0.2,1,0,0.6933333333333335,0.7647058823529411,0,0,1,0,0,1,test
1,0.8,1,0,0.42666666666666664,0.4235294117647059,1,0,0,0,0,0,train
1,0.4,1,0,0.68,0.776470588235294,0,0,0,0,1,1,train
0,1.0,0,0,0.64,0.6941176470588235,0,1,0,0,0,1,test
0,1.0,1,1,0.9866666666666667,1.0,0,1,0,0,0,1,val
1,1.0,0,1,0.7600000000000001,0.7529411764705882,0,0,1,0,0,1,train
1,0.4,1,1,0.7200000000000001,0.7647058823529411,0,1,0,0,0,1,train
0,1.0,1,0,0.7200000000000001,0.7176470588235293,0,0,0,1,0,1,train
1,1.0,1,0,0.7733333333333333,0.7411764705882353,0,0,0,0,1,1,test
1,1.0,1,0,0.3733333333333333,0.37647058823529417,0,0,1,0,0,0,train
1,0.2,1,1,0.4666666666666667,0.4941176470588235,0,0,0,1,0,1,train
1,1.0,0,1,0.41333333333333333,0.4705882352941177,0,1,0,0,0,0,train
1,0.4,1,0,0.44000000000000006,0.4941176470588235,1,0,0,0,0,1,test
1,0.6000000000000001,1,0,0.33333333333333337,0.411764705882353,0,0,0,0,1,0,train
0,1.0,1,0,0.31999999999999995,0.4470588235294118,0,0,1,0,0,0,train
0,0.0,0,0,0.6266666666666667,0.5294117647058822,0,0,0,0,1,1,test
1,0.2,1,1,0.5866666666666667,0.6941176470588235,0,0,0,1,0,1,train
0,0.6000000000000001,0,1,0.6933333333333335,0.7294117647058824,0,0,0,1,0,1,train
0,0.4,1,1,0.6666666666666666,0.7882352941176471,0,1,0,0,0,1,train
1,0.4,0,0,0.6266666666666667,0.6352941176470588,0,0,0,1,0,1,train
0,0.0,1,1,0.5733333333333334,0.6941176470588235,1,0,0,0,0,0,train
1,0.8,1,0,0.2666666666666667,0.27058823529411763,0,0,0,0,1,0,val
1,0.0,1,0,0.41333333333333333,0.5176470588235293,0,0,0,1,0,1,train
0,0.8,1,0,0.6133333333333334,0.6941176470588235,0,0,0,1,0,1,train
0,0.0,1,0,0.64,0.6235294117647059,0,1,0,0,0,0,train
1,0.2,1,0,0.6,0.6470588235294117,0,0,0,0,1,1,train
0,1.0,0,1,0.7866666666666667,0.8470588235294116,0,0,1,0,0,1,train
1,1.0,1,0,0.5066666666666667,0.4941176470588235,0,0,1,0,0,1,train
0,0.2,1,0,0.6266666666666667,0.611764705882353,0,1,0,0,0,0,test
0,1.0,1,0,0.8533333333333334,0.8352941176470587,0,1,0,0,0,1,train
1,0.8,0,0,0.7999999999999999,0.8470588235294116,1,0,0,0,0,1,train
0,0.2,1,1,0.5733333333333334,0.6470588235294117,1,0,0,0,0,0,train
1,0.8,0,1,0.6666666666666666,0.6823529411764706,0,1,0,0,0,1,train
0,0.8,0,0,0.9733333333333333,0.9294117647058824,0,0,0,1,0,1,train
0,0.2,1,0,0.7466666666666667,0.8235294117647058,0,0,1,0,0,1,train
1,0.4,1,0,0.19999999999999996,0.34117647058823525,0,0,1,0,0,0,train
0,0.4,1,0,0.6666666666666666,0.7411764705882353,0,0,0,1,0,1,test
0,0.6000000000000001,1,0,0.7600000000000001,0.7647058823529411,0,0,1,0,0,1,train
1,0.6000000000000001,1,0,0.5333333333333333,0.6352941176470588,0,0,1,0,0,1,train
0,0.0,1,1,0.7466666666666667,0.8470588235294116,1,0,0,0,0,1,train
1,0.0,1,0,0.5066666666666667,0.4705882352941177,0,1,0,0,0,1,train
1,0.0,0,1,0.42666666666666664,0.4470588235294118,0,0,0,1,0,0,train
0,0.2,0,0,0.5466666666666666,0.6000000000000001,0,0,0,1,0,0,train
1,1.0,1,0,0.5066666666666667,0.4588235294117647,0,0,0,1,0,0,test
1,0.4,1,1,0.8533333333333334,0.8352941176470587,0,0,1,0,0,1,train
0,0.8,1,0,0.48,0.5176470588235293,0,1,0,0,0,0,test
0,1.0,0,1,0.9733333333333333,0.9882352941176471,0,0,1,0,0,1,train
0,0.4,1,1,0.92,0.9294117647058824,0,0,0,0,1,1,test
0,0.4,0,1,0.9600000000000001,0.9058823529411764,1,0,0,0,0,1,train
1,0.4,0,0,0.48,0.4941176470588235,0,0,0,1,0,1,train
0,0.2,1,0,0.68,0.611764705882353,0,1,0,0,0,1,train
1,0.2,1,0,0.88,0.8235294117647058,0,0,0,0,1,1,test
0,1.0,1,0,0.7466666666666667,0.7294117647058824,0,1,0,0,0,1,test
0,1.0,1,0,0.9333333333333335,0.9294117647058824,0,1,0,0,0,1,train
1,0.4,1,0,0.41333333333333333,0.4470588235294118,0,0,1,0,0,0,test
1,0.8,0,0,0.56,0.611764705882353,0,0,0,0,1,1,train
1,0.2,0,0,0.5466666666666666,0.5058823529411764,0,0,1,0,0,1,test
1,0.0,1,1,0.45333333333333337,0.5176470588235293,0,0,1,0,0,0,train
1,0.8,0,0,0.41333333333333333,0.4823529411764706,0,0,0,0,1,1,train
0,0.0,0,1,0.42666666666666664,0.4941176470588235,0,0,0,0,1,0,test
0,0.4,1,0,0.6933333333333335,0.6823529411764706,0,0,0,0,1,1,train
1,0.8,1,0,0.8666666666666668,0.8588235294117645,0,1,0,0,0,1,test
1,0.0,1,0,0.6933333333333335,0.7294117647058824,1,0,0,0,0,1,train
1,1.0,0,1,0.7066666666666667,0.8823529411764706,0,0,0,1,0,1,train
0,0.2,1,0,0.5466666666666666,0.6470588235294117,0,0,0,1,0,0,test
1,0.0,0,1,0.4,0.5058823529411764,1,0,0,0,0,0,test
0,0.2,1,0,0.8666666666666668,0.7882352941176471,0,0,0,1,0,1,train
0,0.2,1,0,0.48,0.4941176470588235,0,0,0,0,1,1,train
1,0.8,1,0,0.7466666666666667,0.7647058823529411,0,0,1,0,0,1,train
0,0.2,0,1,0.5733333333333334,0.6235294117647059,0,0,0,0,1,0,train
0,0.8,0,1,0.8933333333333334,0.9176470588235293,0,0,1,0,0,1,train
0,0.0,1,0,0.6133333333333334,0.6470588235294117,0,0,0,0,1,0,train
0,0.4,1,0,0.4933333333333334,0.6235294117647059,0,0,0,1,0,1,train
1,1.0,1,0,0.30666666666666664,0.39999999999999997,0,1,0,0,0,0,train
1,0.4,1,1,0.8933333333333334,0.8588235294117645,0,0,0,1,0,1,val
0,0.0,1,0,0.4666666666666667,0.4941176470588235,0,0,0,0,1,0,test
1,0.2,0,0,0.0,0.0,0,0,1,0,0,0,train
0,0.0,1,0,0.6666666666666666,0.7176470588235293,0,0,1,0,0,1,train
1,0.2,0,1,0.4933333333333334,0.5058823529411764,0,1,0,0,0,0,train
0,1.0,0,0,0.7333333333333333,0.8,0,0,0,0,1,1,train
0,0.4,1,0,0.84,0.8823529411764706,0,1,0,0,0,1,test
1,0.6000000000000001,1,0,0.6133333333333334,0.7176470588235293,0,0,1,0,0,1,train
1,0.4,0,1,0.5733333333333334,0.6705882352941177,0,0,0,1,0,1,val
0,1.0,1,0,0.7066666666666667,0.7882352941176471,0,0,1,0,0,1,val
1,0.6000000000000001,1,1,0.7600000000000001,0.9176470588235293,0,1,0,0,0,1,test
0,0.0,0,1,0.5066666666666667,0.6000000000000001,0,1,0,0,0,0,train
1,0.4,0,1,0.6933333333333335,0.7294117647058824,0,0,0,1,0,1,train
1,0.0,1,0,0.41333333333333333,0.37647058823529417,0,1,0,0,0,1,val
1,0.6000000000000001,1,1,0.6,0.6705882352941177,0,1,0,0,0,1,train
0,0.0,0,0,0.5866666666666667,0.6470588235294117,0,0,0,1,0,0,val
0,0.4,1,0,0.7200000000000001,0.6823529411764706,0,0,0,1,0,1,test
0,0.2,0,0,0.6933333333333335,0.776470588235294,0,1,0,0,0,1,test
1,0.2,1,1,0.7466666666666667,0.7647058823529411,0,0,1,0,0,1,train
1,0.2,1,1,0.6666666666666666,0.6705882352941177,0,0,1,0,0,1,train
0,1.0,0,1,0.52,0.6000000000000001,0,0,1,0,0,0,train
1,0.2,1,0,0.5466666666666666,0.6823529411764706,0,0,1,0,0,1,train
1,0.2,1,1,0.84,0.8235294117647058,1,0,0,0,0,1,train
0,0.2,1,0,0.4933333333333334,0.5411764705882354,0,0,1,0,0,0,train
0,0.4,1,0,0.5866666666666667,0.6823529411764706,0,0,1,0,0,1,train
1,0.2,0,0,0.7200000000000001,0.6235294117647059,0,0,1,0,0,1,train
1,0.6000000000000001,1,1,0.4666666666666667,0.4705882352941177,0,1,0,0,0,1,train
0,0.6000000000000001,1,1,0.64,0.6705882352941177,0,1,0,0,0,1,test
1,0.6000000000000001,1,0,0.2666666666666667,0.24705882352941178,0,0,0,1,0,0,train
1,0.4,1,0,0.7333333333333333,0.6823529411764706,0,1,0,0,0,1,test
0,0.2,0,0,0.42666666666666664,0.4470588235294118,0,1,0,0,0,0,train
1,0.8,0,1,0.52,0.6000000000000001,0,0,1,0,0,0,train
0,1.0,1,1,0.7066666666666667,0.776470588235294,0,1,0,0,0,1,test
1,0.4,1,0,0.7600000000000001,0.6705882352941177,0,0,1,0,0,1,test
1,0.0,1,0,0.33333333333333337,0.3058823529411765,0,0,1,0,0,0,val
0,0.0,0,1,0.5866666666666667,0.6235294117647059,0,0,0,1,0,0,train
1,0.4,0,0,0.33333333333333337,0.34117647058823525,0,1,0,0,0,0,train
0,1.0,1,0,0.42666666666666664,0.5294117647058822,1,0,0,0,0,0,test
0,0.4,1,0,0.7866666666666667,0.8,0,0,1,0,0,1,train
0,0.2,0,0,0.5733333333333334,0.6000000000000001,0,0,1,0,0,0,train
0,0.0,1,0,0.7200000000000001,0.7529411764705882,0,0,0,1,0,1,train
0,0.8,0,0,0.6266666666666667,0.7058823529411764,0,0,0,1,0,1,train
0,0.2,0,0,0.48,0.5647058823529412,0,0,0,1,0,0,train
0,0.4,0,1,0.45333333333333337,0.4823529411764706,0,0,1,0,0,0,train
0,0.4,1,0,0.84,0.8117647058823529,0,0,1,0,0,1,test
0,0.4,0,1,0.5466666666666666,0.5529411764705883,0,0,0,1,0,1,train
0,0.2,0,0,0.84,0.7058823529411764,0,0,0,0,1,1,train
1,1.0,1,0,0.7866666666666667,0.7294117647058824,0,0,1,0,0,1,train
1,1.0,1,0,0.6266666666666667,0.588235294117647,0,0,0,1,0,1,train
0,0.2,1,0,0.41333333333333333,0.5176470588235293,0,1,0,0,0,0,train
0,0.8,1,0,0.18666666666666665,0.25882352941176473,0,0,0,1,0,0,train
0,0.8,1,1,0.7866666666666667,0.8352941176470587,0,0,1,0,0,1,train
1,1.0,1,0,0.19999999999999996,0.24705882352941178,1,0,0,0,0,0,train
0,1.0,0,0,0.6666666666666666,0.7411764705882353,1,0,0,0,0,0,train
0,0.6000000000000001,0,0,0.7066666666666667,0.7411764705882353,0,0,1,0,0,1,train
1,0.0,1,0,0.41333333333333333,0.4235294117647059,0,0,1,0,0,1,train
0,0.2,1,0,0.5066666666666667,0.5647058823529412,0,0,1,0,0,1,test
0,0.2,0,0,0.5733333333333334,0.6000000000000001,0,1,0,0,0,0,train
0,0.4,1,1,0.5066666666666667,0.611764705882353,0,1,0,0,0,0,test
1,0.4,1,1,0.6,0.6588235294117648,0,0,0,0,1,1,train
1,0.4,1,0,0.64,0.6352941176470588,1,0,0,0,0,1,train
1,0.6000000000000001,0,0,0.3866666666666667,0.34117647058823525,0,1,0,0,0,0,train
0,0.6000000000000001,1,0,0.6266666666666667,0.6705882352941177,0,0,1,0,0,1,train
0,0.8,1,0,0.6,0.6705882352941177,1,0,0,0,0,1,val
1,0.2,1,0,0.3733333333333333,0.32941176470588235,0,0,1,0,0,0,train
0,1.0,1,0,0.30666666666666664,0.31764705882352945,0,0,0,1,0,0,train
0,1.0,1,0,0.9066666666666666,1.0,0,0,0,0,1,1,train
0,0.6000000000000001,0,0,0.41333333333333333,0.4588235294117647,0,0,1,0,0,0,train
1,0.8,1,0,0.5333333333333333,0.4823529411764706,0,0,0,1,0,1,train
1,0.6000000000000001,0,0,0.3733333333333333,0.4235294117647059,0,0,1,0,0,0,train
0,0.4,0,1,0.31999999999999995,0.411764705882353,0,1,0,0,0,0,train
1,0.2,1,0,0.3866666666666667,0.37647058823529417,0,0,0,1,0,0,test
0,0.0,1,0,0.41333333333333333,0.37647058823529417,0,1,0,0,0,0,test
0,0.2,1,1,0.64,0.6941176470588235,0,0,1,0,0,1,train
0,1.0,1,0,0.6933333333333335,0.7058823529411764,0,0,1,0,0,1,train
0,0.0,1,0,0.6933333333333335,0.7647058823529411,0,0,0,1,0,1,train
0,0.6000000000000001,1,1,0.7999999999999999,0.9882352941176471,0,1,0,0,0,1,train
0,0.0,1,0,0.7600000000000001,0.8,1,0,0,0,0,1,train
1,0.2,0,1,0.48,0.5411764705882354,0,0,0,0,1,1,train
0,0.6000000000000001,0,1,0.5733333333333334,0.6941176470588235,0,0,1,0,0,1,train
0,0.2,0,0,0.4933333333333334,0.4588235294117647,0,1,0,0,0,0,val
0,0.2,1,0,0.64,0.6470588235294117,1,0,0,0,0,1,test
1,0.6000000000000001,1,1,0.7600000000000001,0.7882352941176471,0,1,0,0,0,1,train
0,0.4,1,0,0.52,0.4588235294117647,0,0,1,0,0,1,test
1,0.2,1,1,0.6933333333333335,0.7411764705882353,0,0,0,1,0,1,train
1,0.0,0,0,0.2666666666666667,0.36470588235294116,0,0,0,0,1,0,val
0,0.2,1,1,0.9333333333333335,0.9176470588235293,0,0,0,1,0,1,train
1,0.8,1,0,0.7200000000000001,0.6823529411764706,0,0,1,0,0,1,test
1,0.0,1,0,0.3866666666666667,0.4352941176470589,1,0,0,0,0,1,train
0,0.4,1,0,0.6533333333333333,0.7647058823529411,0,0,0,1,0,1,train
0,0.2,0,0,0.44000000000000006,0.5647058823529412,0,0,0,1,0,0,test
1,0.4,0,0,0.24,0.29411764705882354,1,0,0,0,0,0,train
0,0.4,1,0,0.42666666666666664,0.5294117647058822,0,0,1,0,0,0,train
1,0.0,1,0,0.28,0.34117647058823525,0,0,1,0,0,0,test
1,0.0,1,1,0.6133333333333334,0.5529411764705883,0,0,1,0,0,1,test
0,0.0,1,0,0.45333333333333337,0.4705882352941177,0,1,0,0,0,0,train
1,1.0,0,1,0.5866666666666667,0.5529411764705883,0,0,1,0,0,1,train
0,0.0,1,1,0.88,0.976470588235294,0,0,0,1,0,1,train
1,0.4,0,0,0.2666666666666667,0.3058823529411765,0,1,0,0,0,0,train
0,1.0,1,0,0.6133333333333334,0.6470588235294117,0,0,1,0,0,0,train
1,1.0,0,0,0.5866666666666667,0.4705882352941177,0,0,0,1,0,1,train
1,0.4,0,0,0.3733333333333333,0.38823529411764707,0,0,0,1,0,1,train
0,0.2,1,1,0.5733333333333334,0.611764705882353,0,0,1,0,0,0,train
0,0.4,1,0,0.6133333333333334,0.7176470588235293,0,0,0,1,0,1,val
0,0.0,1,0,0.8133333333333334,0.7647058823529411,0,0,0,0,1,1,train
1,1.0,1,0,0.6,0.5647058823529412,0,0,0,1,0,1,train
1,0.2,1,0,0.5066666666666667,0.5647058823529412,0,0,1,0,0,1,val
